config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_7,0.5,0.0001,256,1024,0.0,0,mlp,0.8666666666666666
config_6,0.5,0.0001,128,1024,0.0,4,mlp,0.7266666666666667
config_7,0.5,0.0001,256,1024,0.0,0,knn,0.9333333333333332
config_7,0.5,0.0001,256,1024,0.0,2,knn,0.7833333333333333
config_7,0.5,0.0001,256,1024,0.0,4,knn,0.9
config_7,0.5,0.0001,256,1024,0.0,2,mlp,0.7047619047619047
config_8,0.5,1e-05,512,1024,0.0,0,mlp,0.5047619047619047
config_6,0.5,0.0001,128,1024,0.0,2,mlp,0.7047619047619047
config_8,0.5,1e-05,512,1024,0.0,3,mlp,0.7333333333333333
config_8,0.5,1e-05,512,1024,0.0,4,mlp,0.8333333333333333
config_6,0.5,0.0001,128,1024,0.0,0,knn,0.9333333333333332
config_6,0.5,0.0001,128,1024,0.0,3,mlp,0.7
config_8,0.5,1e-05,512,1024,0.0,0,knn,0.7333333333333333
config_7,0.5,0.0001,256,1024,0.0,1,knn,0.7314285714285714
config_7,0.5,0.0001,256,1024,0.0,1,mlp,0.8095238095238095
config_6,0.5,0.0001,128,1024,0.0,4,knn,0.8933333333333333
